zone,sample_id,nitrogen,phosphorus,potassium,ph,ec,moisture,temperature,status,imbalance_type,timestamp
C,S_C_531,9.16,49.32,-31.1,3.5,747.2,28.97,37.3,Unstable,Acidic Trend,1776571651
D,S_D_633,30.67,47.86,137.53,4.94,-347.89,55.65,20.4,Unstable,Acidic Trend,1776204451
A,S_A_629,71.63,26.67,57.26,6.2,288.06,60.53,28.5,Unstable,Variable Stability,1776218851
D,S_D_831,72.09,18.46,54.7,7.35,924.51,60.63,33.3,Unstable,Stable / Optimal,1775491651
D,S_D_254,47.65,29.54,39.1,6.65,-81.1,44.21,16.9,Unstable,Nitrogen Imbalance (Low),1777568851
A,S_A_391,47.88,5.61,57.08,6.92,388.33,47.57,24.2,Unstable,High Salinity Trend,1777075651
D,S_D_746,96.3,7.05,17.7,6.99,2343.4,95.01,17.0,Unstable,Phosphorus Imbalance (Low),1775797651
E,S_E_1051,84.37,27.98,8.71,5.17,33.44,59.1,1.5,Unstable,Acidic Trend,1774699651
D,S_D_391,34.25,11.26,52.89,6.27,429.15,87.14,15.5,Unstable,Phosphorus Imbalance (Low),1777075651
A,S_A_401,43.09,41.38,73.56,5.73,649.3,50.61,30.2,Stable,Stable / Optimal,1777039651
C,S_C_960,30.65,-5.98,-31.79,4.99,346.75,29.2,41.4,Stable,Stable / Optimal,1775027251
A,S_A_047,25.63,20.56,42.85,6.61,567.25,49.73,28.1,Unstable,Variable Stability,1778314051
E,S_E_954,103.05,19.71,101.46,3.5,1212.01,63.67,31.1,Unstable,Variable Stability,1775048851
E,S_E_1110,-3.21,27.34,108.9,5.46,1187.02,59.46,33.4,Unstable,Acidic Trend,1774487251
D,S_D_043,65.63,42.17,65.26,5.38,1722.61,11.5,36.2,Unstable,Phosphorus Imbalance (Low),1778328451
D,S_D_127,22.01,27.44,104.88,4.47,300.29,76.49,18.5,Unstable,Acidic Trend,1778026051
E,S_E_1025,90.98,33.54,91.63,5.59,-41.08,66.12,24.9,Unstable,Variable Stability,1774793251
C,S_C_022,26.83,12.54,-7.32,3.5,389.36,-1.16,16.1,Unstable,Acidic Trend,1778404051
B,S_B_551,51.14,9.3,62.77,5.23,543.02,37.23,28.9,Unstable,Acidic Trend,1776499651
E,S_E_999,32.65,6.83,45.06,5.82,1225.72,72.29,43.0,Unstable,Phosphorus Imbalance (Low),1774886851
E,S_E_108,93.07,17.21,54.02,8.5,7.42,93.34,28.6,Stable,Variable Stability,1778094451
D,S_D_463,-4.19,-1.65,-78.72,7.61,720.31,13.62,25.3,Unstable,High Salinity Trend,1776816451
A,S_A_339,58.25,27.38,61.74,6.02,343.68,56.87,29.1,Unstable,Stable / Optimal,1777262851
A,S_A_216,42.43,28.12,57.23,5.73,270.2,46.95,32.4,Unstable,Phosphorus Imbalance (Low),1777705651
D,S_D_064,73.4,35.25,33.44,6.32,674.76,85.47,22.8,Unstable,Acidic Trend,1778252851
B,S_B_142,49.8,35.59,56.44,6.2,410.45,42.93,27.6,Unstable,Nitrogen Imbalance (Low),1777972051
E,S_E_685,42.35,3.42,57.82,4.97,-157.9,69.58,22.8,Unstable,Acidic Trend,1776017251
D,S_D_295,124.3,21.46,67.79,3.82,1087.69,87.09,35.3,Unstable,Acidic Trend,1777421251
D,S_D_041,25.71,20.06,106.64,4.17,-826.88,51.26,8.6,Unstable,Acidic Trend,1778335651
A,S_A_330,64.05,23.29,59.39,7.91,860.62,52.4,28.4,Stable,Variable Stability,1777295251
C,S_C_605,49.99,9.0,22.92,5.43,174.17,-1.78,43.0,Unstable,Acidic Trend,1776305251
E,S_E_932,65.83,28.7,47.75,6.93,1601.87,44.9,19.0,Stable,High Salinity Trend,1775128051
C,S_C_716,23.73,21.62,-6.67,4.49,176.98,25.36,26.1,Stable,Acidic Trend,1775905651
E,S_E_1002,36.12,-28.74,53.48,6.18,1135.71,23.06,30.5,Stable,Stable / Optimal,1774876051
B,S_B_1123,21.77,21.14,64.29,5.45,753.41,53.19,30.0,Stable,Acidic Trend,1774440451
D,S_D_598,32.1,6.6,62.45,7.54,1187.38,107.64,28.0,Unstable,Phosphorus Imbalance (Low),1776330451
C,S_C_1150,39.79,-8.21,1.24,4.91,-257.73,36.47,33.4,Unstable,Potassium Imbalance (Low),1774343251
B,S_B_259,24.75,27.74,83.24,5.93,423.21,33.14,26.7,Unstable,Variable Stability,1777550851
A,S_A_172,55.32,12.12,53.45,5.43,542.01,32.21,29.3,Stable,Stable / Optimal,1777864051
D,S_D_604,37.95,16.19,67.35,5.45,1189.66,51.72,40.6,Unstable,Acidic Trend,1776308851
E,S_E_221,91.59,79.22,51.88,5.73,655.31,77.87,26.6,Unstable,Phosphorus Imbalance (Low),1777687651
C,S_C_1170,78.2,35.43,-6.49,3.76,1384.45,35.31,13.7,Stable,Nitrogen Imbalance (Low),1774271251
D,S_D_627,-25.63,17.66,76.84,7.4,-104.32,96.53,33.6,Unstable,Nitrogen Imbalance (Low),1776226051
E,S_E_089,35.54,38.23,42.89,4.81,-960.03,92.76,25.9,Unstable,Phosphorus Imbalance (Low),1778162851
E,S_E_137,93.45,20.42,58.48,6.51,1650.48,59.96,14.5,Unstable,High Salinity Trend,1777990051
A,S_A_939,48.7,23.27,67.51,6.46,1132.28,55.61,24.8,Unstable,Acidic Trend,1775102851
A,S_A_061,40.34,28.02,50.18,5.92,258.82,57.47,34.6,Stable,Stable / Optimal,1778263651
B,S_B_041,46.87,18.66,49.21,5.38,336.77,51.54,31.3,Unstable,Potassium Imbalance (Low),1778335651
E,S_E_210,26.89,63.84,124.92,7.26,-406.8,69.95,18.6,Unstable,Nitrogen Imbalance (Low),1777727251
B,S_B_921,48.64,27.04,29.02,5.18,403.96,57.7,25.3,Unstable,Acidic Trend,1775167651
B,S_B_325,67.76,14.69,59.8,6.07,526.24,47.98,32.8,Unstable,Phosphorus Imbalance (Low),1777313251
A,S_A_154,45.1,15.08,77.51,6.64,217.45,56.17,25.9,Stable,Stable / Optimal,1777928851
A,S_A_482,43.1,28.64,71.88,5.88,256.79,44.81,28.2,Stable,Stable / Optimal,1776748051
D,S_D_861,-13.32,34.93,43.27,5.15,1320.6,96.64,20.9,Unstable,Acidic Trend,1775383651
D,S_D_321,50.85,22.87,72.09,7.92,730.15,62.99,18.4,Unstable,Phosphorus Imbalance (Low),1777327651
B,S_B_563,52.78,18.57,51.64,5.9,197.42,73.04,28.7,Unstable,Phosphorus Imbalance (Low),1776456451
A,S_A_751,56.23,38.97,53.95,6.03,583.03,57.87,27.6,Unstable,Variable Stability,1775779651
B,S_B_586,46.58,16.8,59.63,6.09,689.15,60.63,29.6,Stable,Stable / Optimal,1776373651
D,S_D_902,55.62,73.05,65.14,7.12,-8.92,62.82,24.5,Unstable,Variable Stability,1775236051
C,S_C_312,45.35,-40.64,24.16,4.03,-84.99,31.4,35.4,Unstable,Potassium Imbalance (Low),1777360051
E,S_E_046,86.42,24.17,59.36,3.7,645.09,89.26,17.9,Unstable,Potassium Imbalance (Low),1778317651
D,S_D_594,20.34,55.68,65.92,5.07,397.79,101.36,9.0,Unstable,Acidic Trend,1776344851
B,S_B_134,54.24,16.72,79.38,5.89,643.87,48.91,28.5,Stable,Stable / Optimal,1778000851
E,S_E_536,29.38,-31.72,106.9,7.31,-603.45,71.36,22.0,Unstable,Nitrogen Imbalance (Low),1776553651
C,S_C_455,54.1,2.74,28.38,3.66,319.36,59.43,30.1,Unstable,Phosphorus Imbalance (Low),1776845251
A,S_A_187,55.63,25.64,57.95,6.39,335.55,38.25,32.4,Stable,Stable / Optimal,1777810051
A,S_A_1137,41.25,35.6,73.88,6.26,488.45,45.37,27.5,Unstable,Variable Stability,1774390051
B,S_B_859,55.43,19.35,53.73,6.64,110.23,63.19,22.6,Stable,Stable / Optimal,1775390851
E,S_E_223,15.98,4.71,27.49,7.56,1177.51,59.26,36.1,Stable,Nitrogen Imbalance (Low),1777680451
A,S_A_149,62.59,23.94,54.6,7.02,520.48,53.98,26.8,Unstable,Variable Stability,1777946851
D,S_D_525,65.24,-13.43,-10.95,5.13,611.57,119.52,25.2,Unstable,Acidic Trend,1776593251
C,S_C_964,36.6,26.71,39.22,3.5,-783.79,52.75,17.4,Stable,Acidic Trend,1775012851
C,S_C_467,-0.4,12.21,-21.98,4.23,838.17,15.51,22.6,Stable,Nitrogen Imbalance (Low),1776802051
D,S_D_177,35.38,7.58,3.96,7.86,588.29,148.51,24.3,Unstable,Potassium Imbalance (Low),1777846051
B,S_B_187,42.61,17.2,63.14,6.42,529.31,53.54,30.4,Unstable,Stable / Optimal,1777810051
E,S_E_872,33.51,16.77,2.58,7.34,205.95,92.39,10.5,Unstable,Potassium Imbalance (Low),1775344051
E,S_E_160,51.16,5.89,38.39,4.98,1043.1,76.24,5.0,Unstable,Variable Stability,1777907251
D,S_D_030,-10.1,-4.41,100.32,5.85,2275.73,76.73,17.1,Unstable,Nitrogen Imbalance (Low),1778375251
E,S_E_597,51.27,49.2,-12.27,7.15,1358.4,53.53,28.0,Unstable,Stable / Optimal,1776334051
C,S_C_629,40.32,8.85,21.94,4.33,164.72,39.84,28.2,Unstable,Acidic Trend,1776218851
C,S_C_570,22.97,-8.47,59.15,3.5,-523.45,56.16,30.4,Unstable,Phosphorus Imbalance (Low),1776431251
E,S_E_408,28.18,17.91,37.56,7.15,436.29,67.36,36.6,Unstable,Nitrogen Imbalance (Low),1777014451
B,S_B_509,25.33,9.47,91.94,6.42,79.71,63.69,26.5,Stable,Stable / Optimal,1776650851
C,S_C_554,31.18,20.76,48.5,3.5,-1098.7,-1.19,28.3,Unstable,Acidic Trend,1776488851
A,S_A_455,48.26,23.01,43.38,6.8,538.48,40.29,32.2,Unstable,Stable / Optimal,1776845251
A,S_A_610,48.28,30.77,88.72,6.32,551.68,55.04,30.2,Unstable,Variable Stability,1776287251
D,S_D_664,66.04,-2.38,13.02,6.74,1227.79,91.5,29.8,Unstable,Potassium Imbalance (Low),1776092851
E,S_E_282,59.61,-4.57,107.87,7.05,980.59,80.57,17.9,Unstable,Stable / Optimal,1777468051
B,S_B_875,60.3,25.21,56.5,5.04,489.83,59.14,27.0,Unstable,Acidic Trend,1775333251
D,S_D_453,30.33,29.94,69.52,6.18,907.25,65.82,26.5,Unstable,Acidic Trend,1776852451
E,S_E_074,60.66,40.72,82.11,6.0,1633.6,44.51,36.7,Unstable,High Salinity Trend,1778216851
B,S_B_423,54.51,35.21,60.68,6.35,217.76,58.9,25.3,Unstable,Variable Stability,1776960451
D,S_D_1084,6.75,32.17,78.51,4.82,997.72,58.35,28.6,Unstable,Acidic Trend,1774580851
E,S_E_453,21.63,22.26,20.82,8.48,385.99,53.94,13.7,Unstable,Variable Stability,1776852451
A,S_A_041,57.01,31.57,60.57,6.18,811.24,34.76,29.6,Unstable,Variable Stability,1778335651
B,S_B_890,53.58,17.83,87.16,5.93,581.47,64.46,24.2,Unstable,Variable Stability,1775279251
D,S_D_325,52.64,14.71,32.2,6.81,408.43,61.71,23.2,Unstable,High Salinity Trend,1777313251
B,S_B_976,27.75,14.57,41.7,5.33,693.25,41.48,27.3,Unstable,Variable Stability,1774969651
A,S_A_075,54.15,36.99,33.08,5.63,777.0,41.88,22.3,Unstable,Potassium Imbalance (Low),1778213251
E,S_E_1126,88.98,28.55,22.63,5.76,-108.72,80.17,14.7,Stable,Stable / Optimal,1774429651
E,S_E_1117,70.09,73.46,64.71,6.14,892.16,52.67,44.7,Unstable,Phosphorus Imbalance (Low),1774462051
C,S_C_258,-49.58,37.41,23.5,6.24,-371.76,49.86,20.6,Unstable,High Salinity Trend,1777554451
C,S_C_781,74.98,8.77,-20.57,3.96,-29.89,34.7,32.6,Unstable,Acidic Trend,1775671651
B,S_B_877,55.47,14.79,77.33,6.67,713.88,70.23,25.5,Stable,Phosphorus Imbalance (Low),1775326051
A,S_A_442,27.4,16.86,64.08,6.09,277.88,59.14,30.8,Unstable,Nitrogen Imbalance (Low),1776892051
B,S_B_852,37.17,16.52,53.88,6.95,1107.67,65.49,23.6,Stable,Stable / Optimal,1775416051
C,S_C_142,-65.68,10.51,30.65,3.5,-1052.72,30.77,40.1,Unstable,Acidic Trend,1777972051
B,S_B_102,48.88,10.92,41.78,5.73,478.83,55.03,25.9,Unstable,Phosphorus Imbalance (Low),1778116051
C,S_C_1031,-14.31,-5.1,-11.69,6.15,-371.4,41.0,9.6,Unstable,Nitrogen Imbalance (Low),1774771651
B,S_B_105,26.55,17.94,46.09,5.64,262.51,51.03,25.5,Unstable,Nitrogen Imbalance (Low),1778105251
A,S_A_237,35.44,20.73,70.15,6.61,192.99,43.55,27.9,Stable,Stable / Optimal,1777630051
E,S_E_196,133.8,6.17,30.8,6.77,12.79,42.26,52.2,Unstable,Potassium Imbalance (Low),1777777651
C,S_C_200,4.77,13.51,10.08,4.96,-590.05,1.27,36.4,Unstable,Acidic Trend,1777763251
D,S_D_1017,33.07,35.85,69.85,7.76,969.0,87.35,18.9,Unstable,Variable Stability,1774822051
C,S_C_174,-16.48,-2.38,4.83,3.5,-267.27,40.89,25.1,Unstable,Variable Stability,1777856851
C,S_C_881,-10.82,-5.98,24.56,5.78,613.89,-0.06,18.7,Stable,Stable / Optimal,1775311651
C,S_C_787,29.07,-18.09,32.75,5.15,2365.83,62.56,22.3,Unstable,Acidic Trend,1775650051
D,S_D_354,39.12,-2.85,20.61,5.43,1861.6,96.01,13.0,Stable,Nitrogen Imbalance (Low),1777208851
C,S_C_369,21.28,4.01,27.04,4.47,87.91,23.31,18.3,Unstable,Acidic Trend,1777154851
D,S_D_624,18.16,9.49,98.23,7.22,1276.35,79.02,15.3,Stable,Stable / Optimal,1776236851
B,S_B_907,60.68,36.4,68.76,6.32,533.66,47.81,25.2,Unstable,Variable Stability,1775218051
C,S_C_280,42.38,53.3,75.99,4.03,537.22,30.7,16.9,Unstable,Acidic Trend,1777475251
C,S_C_362,-9.89,50.17,7.73,3.95,306.98,-15.61,27.1,Unstable,Phosphorus Imbalance (Low),1777180051
D,S_D_1089,80.5,47.51,92.84,6.15,774.49,53.2,39.8,Unstable,Variable Stability,1774562851
B,S_B_188,39.7,31.95,18.53,5.49,444.32,66.83,29.8,Unstable,Acidic Trend,1777806451
E,S_E_832,48.52,18.0,64.34,5.71,1209.86,105.31,13.4,Stable,Stable / Optimal,1775488051
E,S_E_627,32.84,-6.97,-57.06,3.5,945.84,68.07,16.0,Unstable,Acidic Trend,1776226051
B,S_B_080,70.45,40.55,80.6,6.69,297.54,50.79,19.8,Unstable,Variable Stability,1778195251
E,S_E_1080,106.72,22.89,95.11,5.38,548.74,78.3,19.7,Stable,Stable / Optimal,1774595251
B,S_B_356,55.55,20.04,28.28,5.43,436.1,51.98,29.2,Unstable,Acidic Trend,1777201651
E,S_E_623,67.25,23.92,82.49,5.49,1850.24,39.61,8.0,Stable,Acidic Trend,1776240451
C,S_C_791,-2.34,28.54,-6.12,3.58,1918.47,44.52,38.7,Stable,Acidic Trend,1775635651
D,S_D_967,55.07,10.33,70.96,6.98,574.12,68.58,1.7,Unstable,High Salinity Trend,1775002051
E,S_E_003,66.08,5.46,41.03,4.96,2637.37,79.36,14.6,Unstable,Acidic Trend,1778472451
E,S_E_827,45.07,22.21,20.82,7.59,-136.19,46.69,22.7,Unstable,Nitrogen Imbalance (Low),1775506051
C,S_C_1195,-60.15,9.08,4.1,3.84,-191.02,36.19,25.7,Unstable,Acidic Trend,1774181251
B,S_B_721,31.61,27.87,54.07,6.83,502.82,53.17,26.9,Unstable,Variable Stability,1775887651
A,S_A_514,53.71,17.7,78.62,6.49,702.69,43.92,25.3,Stable,Stable / Optimal,1776632851
D,S_D_578,93.12,44.75,40.72,7.27,-990.4,23.72,23.3,Unstable,Variable Stability,1776402451
B,S_B_109,47.59,38.74,82.24,6.29,-110.17,49.32,20.2,Unstable,Variable Stability,1778090851
A,S_A_915,47.97,25.31,64.7,5.66,442.92,59.65,31.9,Unstable,Stable / Optimal,1775189251
C,S_C_1053,41.36,-16.14,3.95,6.02,583.77,11.93,19.6,Unstable,Potassium Imbalance (Low),1774692451
D,S_D_096,32.25,58.3,28.58,8.5,901.17,70.07,41.0,Unstable,Phosphorus Imbalance (Low),1778137651
D,S_D_643,-6.48,37.55,44.29,5.14,62.8,54.66,37.0,Unstable,Acidic Trend,1776168451
C,S_C_757,50.14,-4.14,95.85,5.36,914.97,24.86,26.9,Unstable,Acidic Trend,1775758051
B,S_B_999,54.05,25.8,92.79,7.23,641.27,26.08,30.4,Unstable,Variable Stability,1774886851
A,S_A_775,61.93,21.8,54.16,6.12,942.36,53.5,27.2,Unstable,Variable Stability,1775693251
D,S_D_826,48.17,0.39,54.9,8.5,792.94,114.02,25.9,Unstable,Phosphorus Imbalance (Low),1775509651
A,S_A_944,40.26,25.49,73.68,6.92,611.14,47.59,26.3,Unstable,Phosphorus Imbalance (Low),1775084851
A,S_A_823,61.42,25.95,54.93,5.86,285.52,44.16,30.2,Unstable,Variable Stability,1775520451
D,S_D_678,89.3,39.15,67.92,6.45,916.0,70.48,30.5,Unstable,High Salinity Trend,1776042451
A,S_A_165,41.94,21.15,51.53,6.46,422.09,44.52,26.8,Stable,Stable / Optimal,1777889251
D,S_D_948,69.32,-12.46,125.8,6.56,1006.82,64.76,25.0,Unstable,Phosphorus Imbalance (Low),1775070451
D,S_D_384,26.28,59.69,77.79,5.42,553.24,48.8,8.7,Stable,Phosphorus Imbalance (Low),1777100851
C,S_C_139,24.84,12.36,19.34,3.5,-46.1,10.53,28.8,Unstable,Acidic Trend,1777982851
E,S_E_925,90.18,14.79,-33.69,3.62,1135.01,96.97,33.2,Unstable,Acidic Trend,1775153251
B,S_B_112,47.95,18.43,99.2,6.23,535.44,49.92,34.3,Unstable,Variable Stability,1778080051
E,S_E_1039,75.53,20.25,75.0,6.37,1329.41,55.83,25.3,Unstable,Variable Stability,1774742851
E,S_E_198,66.36,18.4,1.52,7.12,-38.14,68.2,29.7,Unstable,Potassium Imbalance (Low),1777770451
E,S_E_769,59.55,32.33,174.91,4.88,2637.37,34.48,21.4,Unstable,Acidic Trend,1775714851
C,S_C_901,16.7,6.87,24.21,4.66,201.73,21.09,17.9,Unstable,Acidic Trend,1775239651
C,S_C_911,36.99,3.07,50.99,5.65,-760.45,37.03,42.5,Unstable,High Salinity Trend,1775203651
A,S_A_328,40.84,21.42,69.18,6.48,474.99,46.25,27.0,Unstable,Variable Stability,1777302451
C,S_C_091,82.97,3.37,70.94,4.04,248.06,105.37,23.1,Unstable,Variable Stability,1778155651
E,S_E_821,65.55,59.19,36.7,6.95,1309.43,49.04,26.5,Unstable,Nitrogen Imbalance (Low),1775527651
D,S_D_809,78.27,-6.06,78.61,6.13,1566.37,72.4,41.3,Stable,Nitrogen Imbalance (Low),1775570851
A,S_A_833,46.68,17.7,73.36,7.24,222.01,49.65,18.7,Unstable,Phosphorus Imbalance (Low),1775484451
C,S_C_680,37.22,6.86,-51.38,6.03,698.94,44.77,33.4,Unstable,Potassium Imbalance (Low),1776035251
C,S_C_1063,4.5,13.32,44.82,5.01,627.27,36.61,27.6,Stable,Acidic Trend,1774656451
E,S_E_454,34.88,46.65,110.6,6.76,1311.21,55.02,24.6,Unstable,Acidic Trend,1776848851
A,S_A_055,48.25,5.86,76.24,5.88,176.02,34.24,24.6,Unstable,Phosphorus Imbalance (Low),1778285251
D,S_D_465,25.59,2.98,33.43,4.6,1865.18,80.97,27.1,Unstable,Acidic Trend,1776809251
C,S_C_1052,-29.54,18.84,42.96,4.42,387.71,42.48,34.2,Stable,Stable / Optimal,1774696051
B,S_B_702,46.31,31.11,70.58,6.15,669.91,52.33,23.7,Unstable,High Salinity Trend,1775956051
B,S_B_282,34.05,21.25,48.93,7.49,-113.44,65.38,30.1,Unstable,Variable Stability,1777468051
D,S_D_551,119.88,16.54,53.29,5.26,898.55,11.72,48.7,Unstable,Acidic Trend,1776499651
C,S_C_936,38.15,17.89,19.72,4.52,-599.12,27.79,20.1,Stable,Phosphorus Imbalance (Low),1775113651
A,S_A_947,25.31,22.91,66.73,6.28,607.72,63.64,31.4,Unstable,Nitrogen Imbalance (Low),1775074051
C,S_C_894,71.87,45.37,20.42,3.83,465.98,45.06,20.5,Unstable,Acidic Trend,1775264851
B,S_B_962,49.91,12.54,37.82,5.87,102.17,38.78,28.3,Unstable,Potassium Imbalance (Low),1775020051
E,S_E_277,88.71,51.42,94.51,7.55,321.19,36.11,23.8,Unstable,Variable Stability,1777486051
C,S_C_658,40.05,19.65,82.14,6.69,249.53,42.29,16.8,Unstable,Nitrogen Imbalance (Low),1776114451
A,S_A_769,53.77,16.29,49.39,5.93,445.57,42.92,33.0,Stable,Stable / Optimal,1775714851
E,S_E_841,52.09,37.07,129.94,5.59,-30.5,55.14,4.7,Unstable,Potassium Imbalance (Low),1775455651
C,S_C_1096,0.62,-13.87,96.07,3.5,-620.37,11.76,18.5,Stable,Stable / Optimal,1774537651
A,S_A_286,19.7,21.07,48.17,6.07,676.75,40.59,16.9,Stable,Stable / Optimal,1777453651
E,S_E_1127,55.75,25.42,-7.98,4.29,355.71,105.76,44.1,Stable,Acidic Trend,1774426051
D,S_D_925,17.87,33.67,43.59,8.44,313.37,68.3,26.9,Unstable,Nitrogen Imbalance (Low),1775153251
E,S_E_533,22.8,26.04,117.19,7.4,1599.03,75.29,30.2,Unstable,High Salinity Trend,1776564451
B,S_B_1133,54.98,21.35,66.45,5.65,607.84,70.56,27.4,Unstable,Stable / Optimal,1774404451
C,S_C_318,-12.12,-1.9,-51.71,4.71,-99.73,27.1,17.6,Unstable,Acidic Trend,1777338451
B,S_B_880,30.23,16.19,83.54,6.74,174.05,48.54,27.6,Unstable,Variable Stability,1775315251
C,S_C_990,-27.1,0.32,-51.2,4.71,-766.33,18.45,28.1,Unstable,Acidic Trend,1774919251
A,S_A_723,57.77,16.56,34.75,6.46,236.18,62.61,23.0,Unstable,Acidic Trend,1775880451
A,S_A_952,50.33,41.26,89.84,6.11,691.62,15.65,30.6,Unstable,Variable Stability,1775056051
E,S_E_784,59.6,21.81,66.41,6.84,1612.71,76.48,23.2,Unstable,Acidic Trend,1775660851
B,S_B_1063,42.0,16.26,65.05,6.54,423.15,31.93,30.7,Unstable,Stable / Optimal,1774656451
A,S_A_990,63.11,30.75,31.72,6.14,409.82,46.34,25.9,Unstable,Potassium Imbalance (Low),1774919251
C,S_C_813,66.75,20.57,77.17,4.67,-724.7,49.1,28.9,Unstable,Acidic Trend,1775556451
B,S_B_560,28.92,19.15,49.67,5.58,531.69,32.1,25.0,Stable,Acidic Trend,1776467251
E,S_E_120,9.41,7.0,78.89,5.54,91.65,58.78,33.8,Unstable,Nitrogen Imbalance (Low),1778051251
D,S_D_823,35.64,91.0,86.98,6.62,1164.78,73.28,19.9,Unstable,Variable Stability,1775520451
B,S_B_525,60.8,32.42,30.31,6.12,681.0,31.52,19.8,Unstable,Acidic Trend,1776593251
A,S_A_342,51.02,23.84,63.74,6.32,304.86,54.54,28.0,Stable,Phosphorus Imbalance (Low),1777252051
D,S_D_102,-21.33,6.77,52.71,5.33,1794.89,104.29,35.1,Unstable,Acidic Trend,1778116051
D,S_D_644,-8.72,30.22,71.47,6.92,-163.46,68.11,29.3,Unstable,Nitrogen Imbalance (Low),1776164851
A,S_A_689,50.4,18.33,108.58,6.07,318.71,49.94,30.9,Unstable,Variable Stability,1776002851
C,S_C_1033,29.96,-14.78,49.76,4.54,1247.16,7.1,17.5,Unstable,Acidic Trend,1774764451
A,S_A_967,32.85,21.6,56.69,6.95,317.69,54.46,30.4,Stable,Stable / Optimal,1775002051
E,S_E_867,8.4,12.57,35.78,7.43,971.29,45.32,12.2,Unstable,High Salinity Trend,1775362051
B,S_B_1004,63.52,24.81,37.89,5.72,574.96,74.17,25.5,Unstable,Nitrogen Imbalance (Low),1774868851
C,S_C_314,46.74,30.96,19.03,4.68,1256.62,58.21,29.4,Unstable,Acidic Trend,1777352851
D,S_D_1158,81.28,18.95,25.32,6.23,930.79,75.35,40.7,Unstable,High Salinity Trend,1774314451
E,S_E_933,31.22,14.78,36.11,8.5,746.56,76.21,38.8,Stable,Potassium Imbalance (Low),1775124451
E,S_E_1143,-17.76,18.83,174.8,6.0,-22.66,101.06,49.1,Stable,Nitrogen Imbalance (Low),1774368451
C,S_C_1173,33.63,2.97,37.62,3.5,-540.89,15.43,33.0,Unstable,Acidic Trend,1774260451
E,S_E_006,108.45,11.85,58.31,6.46,312.63,62.89,30.2,Unstable,Phosphorus Imbalance (Low),1778461651
B,S_B_791,62.34,22.67,64.58,7.95,779.18,49.83,32.3,Unstable,Variable Stability,1775635651
D,S_D_521,41.38,11.88,22.98,6.43,1354.36,34.53,18.3,Unstable,Potassium Imbalance (Low),1776607651
D,S_D_1160,71.08,14.55,44.66,8.5,1060.93,71.46,31.7,Unstable,Nitrogen Imbalance (Low),1774307251
E,S_E_115,51.53,47.43,9.97,6.81,1107.69,54.32,16.1,Stable,Potassium Imbalance (Low),1778069251
E,S_E_754,72.55,41.89,107.31,8.16,1408.29,69.68,27.5,Unstable,Acidic Trend,1775768851
E,S_E_994,38.64,9.55,24.4,6.66,1366.63,84.79,18.9,Unstable,Potassium Imbalance (Low),1774904851
D,S_D_001,41.87,50.58,117.37,5.09,69.57,82.44,31.9,Unstable,Acidic Trend,1778479651
E,S_E_673,55.0,13.39,36.44,6.07,375.98,89.43,22.8,Unstable,Potassium Imbalance (Low),1776060451
E,S_E_1172,33.07,36.91,13.63,5.44,-136.1,31.47,11.0,Stable,Phosphorus Imbalance (Low),1774264051
E,S_E_139,4.67,-3.32,75.75,5.93,1147.39,83.55,14.2,Unstable,Acidic Trend,1777982851
A,S_A_386,34.75,20.22,52.18,6.28,329.53,52.41,24.2,Stable,Stable / Optimal,1777093651
E,S_E_429,-6.11,22.12,90.97,6.72,-405.47,53.63,19.8,Stable,Nitrogen Imbalance (Low),1776938851
E,S_E_675,32.8,10.33,62.42,5.78,2164.36,91.53,30.6,Unstable,Phosphorus Imbalance (Low),1776053251
A,S_A_537,35.88,18.82,65.06,7.83,40.09,28.74,24.8,Stable,Potassium Imbalance (Low),1776550051
E,S_E_822,39.34,51.59,61.18,4.14,684.45,16.43,36.1,Unstable,High Salinity Trend,1775524051
D,S_D_613,0.89,55.37,50.35,8.5,-191.03,76.53,20.6,Unstable,Nitrogen Imbalance (Low),1776276451
C,S_C_1108,26.28,-1.0,-0.41,3.5,-137.6,16.27,7.6,Unstable,Acidic Trend,1774494451
A,S_A_202,58.14,30.08,41.02,6.77,201.01,60.02,29.7,Unstable,Phosphorus Imbalance (Low),1777756051
B,S_B_133,26.44,29.16,77.29,5.02,-46.48,55.59,20.5,Unstable,Nitrogen Imbalance (Low),1778004451
C,S_C_1103,66.84,20.08,104.72,5.85,310.78,94.31,41.3,Unstable,Variable Stability,1774512451
C,S_C_309,1.16,18.83,-21.58,3.5,-871.96,38.18,29.5,Unstable,Acidic Trend,1777370851
D,S_D_1063,40.94,25.94,43.49,6.35,-72.54,53.04,30.4,Stable,Stable / Optimal,1774656451
D,S_D_422,0.18,57.22,25.0,3.5,1155.33,17.48,15.3,Unstable,Acidic Trend,1776964051
B,S_B_655,20.69,10.35,56.62,6.8,680.06,26.92,26.6,Unstable,Variable Stability,1776125251
E,S_E_559,53.41,11.3,88.86,5.57,29.72,70.15,33.9,Stable,Phosphorus Imbalance (Low),1776470851
C,S_C_473,-59.35,14.8,78.98,5.98,1553.56,57.45,25.3,Unstable,Nitrogen Imbalance (Low),1776780451
C,S_C_631,13.98,14.03,13.7,3.5,676.54,50.11,39.6,Unstable,Acidic Trend,1776211651
B,S_B_006,65.98,25.23,59.73,6.74,1161.35,34.25,32.9,Unstable,Variable Stability,1778461651
